index,filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
0,fig16b,False,0,strong_wolfe,False,5,5.0,1000,0.3,234,0.0465674176812171,414.3293550014496
0,fig16b,False,0,strong_wolfe,False,40,20.0,500,1.0,95,0.0211575645953416,476.68887400627136
0,fig4a,False,1,strong_wolfe,False,10,10.0,1000,0.3,875,0.0006051340023986,3456.168997049332
0,fig4a,False,1,strong_wolfe,False,20,20.0,1000,1.0,95,0.0416948683559894,392.8779699802399
0,fig4a,False,1,strong_wolfe,False,40,,200,0.3,264,0.0005799605860374,2534.238018512726
0,fig4a,False,0,strong_wolfe,False,40,,300,1.0,233,0.0002371612208662,1508.9523339271543
0,fig16b,False,0,strong_wolfe,False,20,10.0,30,0.3,786,0.0006100675673224,1040.2955195903778
0,fig16b,False,1,strong_wolfe,False,40,20.0,1000,10.0,119,0.0226108208298683,493.69426798820496
0,fig16b,False,0,strong_wolfe,False,10,5.0,200,10.0,663,0.0112112751230597,930.2366330623628
0,fig16b,False,1,,False,5,2.0,30,0.3,2000,0.0154226729646325,929.0516946315764
0,fig4a,False,0,strong_wolfe,False,40,20.0,10,0.3,570,0.0007891647401265,1488.800508975983
0,fig4a,False,1,strong_wolfe,False,20,20.0,10,1.0,83,0.0561525858938694,148.50408458709717
0,fig16b,False,0,strong_wolfe,False,20,10.0,500,3.0,168,0.0210785139352083,439.8394021987915
0,fig4a,False,0,strong_wolfe,False,10,5.0,100,0.3,1531,0.0012247904669493,1061.6105558872223
0,fig4a,False,1,strong_wolfe,False,20,,10,10.0,88,0.0645654276013374,225.3845367431641
0,fig16b,False,0,strong_wolfe,False,10,10.0,500,3.0,168,0.0210785139352083,455.6101534366608
0,fig4a,False,0,strong_wolfe,False,40,20.0,30,1.0,450,0.0004586375725921,1193.164496421814
0,fig16b,False,0,strong_wolfe,False,20,10.0,100,3.0,318,0.0084450487047433,451.8747341632843
0,fig4a,False,0,strong_wolfe,False,20,10.0,10,10.0,187,0.044606115669012,268.7505090236664
0,fig4a,False,0,,False,40,20.0,30,1.0,456,0.0004652962088584,2211.5703251361847
0,fig4a,False,0,strong_wolfe,False,40,20.0,200,10.0,147,0.0320694670081138,565.1589732170105
0,fig4a,False,0,,False,20,20.0,3,0.3,547,0.0019265043083578,2581.255182504654
0,fig4a,False,1,strong_wolfe,False,5,,500,3.0,472,0.0224721245467662,851.112820148468
0,fig4a,False,1,strong_wolfe,False,10,,200,1.0,654,0.0005479022511281,2376.218461751938
0,fig4a,False,1,strong_wolfe,False,20,20.0,1000,0.3,503,0.0003973169950768,4058.3881680965424
0,fig4a,False,1,strong_wolfe,False,40,20.0,500,1.0,440,0.0003634712484199,2643.873794794082
0,fig4a,False,1,strong_wolfe,False,20,,10,0.3,657,0.000760548224207,1809.351639032364
0,fig16b,False,1,strong_wolfe,False,5,2.0,1000,0.3,2000,0.0152377150952816,1307.8011412620544
0,fig4a,False,0,strong_wolfe,False,10,10.0,500,0.3,838,0.0005934071959927,2597.5318932533264
0,fig4a,False,1,,False,5,,100,1.0,996,0.0014755349839106,1312.6133596897123
0,fig4a,False,1,strong_wolfe,False,10,5.0,100,0.3,1630,0.0014503700658679,1118.9341232776642
0,fig4a,False,0,,False,40,40.0,3,1.0,534,0.0007619657553732,4590.501015424728
0,fig4a,False,1,,False,40,,3,1.0,449,0.00117777090054,4144.594285488129
0,fig4a,False,0,strong_wolfe,False,40,40.0,200,10.0,99,0.0320694670081138,568.786731004715
0,fig16b,False,1,strong_wolfe,False,20,10.0,30,0.3,842,0.0006396590615622,1031.532508611679
0,fig16b,False,1,strong_wolfe,False,40,40.0,200,3.0,65,0.0321812257170677,277.85485672950745
0,fig4a,False,0,strong_wolfe,False,10,5.0,10,3.0,312,0.0439139008522033,247.09598565101624
0,fig4a,False,1,,False,40,40.0,30,0.3,365,0.0004189600585959,3512.033534049988
0,fig16b,False,1,strong_wolfe,False,5,2.0,500,1.0,2000,0.004565923474729,1100.7816276550293
0,fig16b,False,1,strong_wolfe,False,10,10.0,500,0.3,774,0.0003719846718013,2369.6194519996643
0,fig4a,False,0,strong_wolfe,False,5,2.0,10,1.0,2000,0.0178276021033525,542.5672841072083
0,fig4a,False,1,,False,5,5.0,10,1.0,1325,0.0018223016522824,1585.0249061584473
0,fig4a,False,0,strong_wolfe,False,10,10.0,500,10.0,1112,0.0006037499406374,3217.1512837409973
0,fig4a,False,1,strong_wolfe,False,20,10.0,500,3.0,297,0.0224721245467662,853.1567189693451
0,fig4a,False,0,strong_wolfe,False,40,,30,1.0,257,0.0003364706062711,1489.729476928711
0,fig4a,False,0,strong_wolfe,False,20,,10,3.0,99,0.0439139008522033,233.56258082389832
