filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
fig4a,False,0,None,False,40,,3,1.0,252,0.0002930787450168,34:46
fig16b,False,0,strong_wolfe,False,10,0.5,100,1.0,911,0.0010591393802314,15:44
fig4a,True,0,strong_wolfe,False,5,,10,1.0,1037,0.0009906911291182,21:39
fig4a,True,1,strong_wolfe,False,40,1.0,100,1.0,277,0.0003249601577408,37:34
fig4a,True,1,strong_wolfe,False,20,,100,1.0,412,0.0004261405847501,29:14
fig16b,False,0,strong_wolfe,True,10,0.5,10,0.01,1715,0.001992181641981,34:28
fig16b,False,0,None,True,10,0.5,3,1.0,777,0.000840698601678,13:27
fig4a,True,0,strong_wolfe,False,40,1.0,3,1.0,278,0.0003133979043923,34:02
fig16b,True,0,strong_wolfe,False,10,1.0,100,0.01,1431,0.0014208228094503,45:10
fig16b,True,1,strong_wolfe,True,40,1.0,3,0.01,516,0.0004091791051905,1:07:47
fig4a,False,0,None,True,20,,100,0.01,282,0.0073422095738351,19:32
fig16b,True,1,strong_wolfe,False,20,1.0,100,1.0,432,0.0003887203638441,30:31
fig16b,True,0,strong_wolfe,True,40,,10,0.01,496,0.0004580552049446,1:20:46
fig16b,True,1,None,False,10,,3,0.01,788,0.0062304576858878,27:46
fig4a,True,1,strong_wolfe,True,40,1.0,3,1.0,263,0.0002766315301414,32:05
fig16b,True,1,strong_wolfe,False,10,1.0,3,1.0,774,0.0005100793787278,24:27
fig16b,False,0,strong_wolfe,True,40,0.5,100,1.0,317,0.0004242165887262,22:24
fig4a,False,0,None,False,5,1.0,10,1.0,1205,0.0011445377022027,20:38
fig4a,True,1,strong_wolfe,False,5,,100,1.0,252,0.0401114411652088,06:23
fig16b,True,1,None,True,10,,3,0.01,704,0.0037939820904284,24:47
fig16b,True,1,strong_wolfe,False,10,,10,0.01,1191,0.0014044503914192,46:29
fig4a,True,1,None,False,10,1.0,3,0.01,713,0.0159321445971727,25:06
fig4a,True,1,strong_wolfe,True,40,0.5,100,0.01,1016,0.0007970941951498,1:01:56
fig16b,False,1,strong_wolfe,False,10,,3,0.01,1270,0.0012991678668186,49:08
fig4a,False,0,strong_wolfe,False,5,1.0,3,1.0,1283,0.0010413415729999,22:35
fig4a,True,1,strong_wolfe,False,20,0.5,100,1.0,764,0.0006028153584338,24:33
fig16b,True,1,strong_wolfe,False,5,0.5,100,0.01,2001,0.0232525411993265,19:23
fig16b,False,1,strong_wolfe,False,10,1.0,3,0.01,1472,0.0013864113716408,49:42
fig16b,False,1,None,False,20,,10,0.01,483,0.0042599984444677,29:53
fig16b,True,0,None,False,20,0.5,100,1.0,740,0.0004887222894467,25:29
fig4a,False,0,None,True,20,1.0,10,0.01,294,0.0073424209840595,20:21
fig16b,True,1,strong_wolfe,True,10,1.0,3,1.0,666,0.0005089561454951,23:25
fig4a,False,0,strong_wolfe,True,5,,10,0.01,1607,0.0020324205979704,34:55
fig4a,True,1,None,False,5,,10,1.0,1002,0.0010264231823384,17:44
fig4a,False,0,strong_wolfe,False,5,,3,1.0,1065,0.0009784455178305,20:14
fig16b,True,1,strong_wolfe,False,20,,3,1.0,400,0.0004089081776328,31:10
fig16b,False,1,None,True,40,0.5,100,1.0,323,0.000209774589166,22:38
fig16b,True,0,None,False,10,,3,1.0,455,0.0006696453783661,14:14
fig16b,False,1,None,False,20,1.0,10,1.0,347,0.0002482618729118,21:29
fig4a,True,0,None,True,40,1.0,3,0.01,227,0.0080340923741459,31:18
fig4a,False,1,None,False,10,0.5,3,0.01,976,0.0225474461913108,16:41
fig4a,False,0,strong_wolfe,False,5,,10,0.01,2001,0.0056804683990776,43:36
