index,filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
0,fig16b,False,0,strong_wolfe,False,5,5.0,100,1.0,910,0.001060566632077,1110.6199226379397
0,fig16b,False,0,strong_wolfe,False,10,,100,100.0,417,0.0076081431470811,1124.9761490821838
0,fig16b,False,1,strong_wolfe,False,20,,100,30.0,100,0.0247932374477386,330.75763416290283
0,fig16b,False,0,strong_wolfe,False,10,10.0,100,1.0,589,0.0004401666810736,1313.9922516345978
0,fig4a,False,1,strong_wolfe,False,20,10.0,100,3.0,175,0.0388671196997165,386.3077616691589
0,fig4a,False,1,strong_wolfe,False,5,5.0,100,10.0,773,0.0187452025711536,1005.7649607658386
0,fig16b,False,0,strong_wolfe,False,40,,100,1.0,200,0.0002071632479783,1494.2340874671936
0,fig4a,False,0,strong_wolfe,False,5,,100,100.0,695,0.0195209588855505,1093.3444039821625
0,fig4a,False,1,strong_wolfe,False,5,,100,100.0,740,0.0185585636645555,1080.0483117103577
0,fig4a,False,1,strong_wolfe,False,10,10.0,100,1.0,812,0.0005862757097929,1861.7717945575716
0,fig4a,False,1,strong_wolfe,False,10,5.0,100,30.0,1285,0.0086766947060823,1598.4805836677551
0,fig16b,False,0,strong_wolfe,False,20,20.0,100,30.0,243,0.0087219318374991,922.91100358963
0,fig4a,False,1,strong_wolfe,False,40,40.0,100,3.0,80,0.0388671196997165,361.2726261615753
0,fig4a,False,1,strong_wolfe,False,5,5.0,100,100.0,790,0.0185585636645555,1220.7363834381104
0,fig16b,False,1,strong_wolfe,False,40,40.0,100,1.0,219,0.0002202225732617,1430.5495071411133
0,fig4a,False,0,strong_wolfe,False,40,,100,30.0,93,0.0348342284560203,567.2865934371948
0,fig16b,False,0,strong_wolfe,False,40,20.0,100,30.0,243,0.0087219318374991,871.1879208087921
0,fig4a,False,1,strong_wolfe,False,5,,100,30.0,1071,0.0086766947060823,1643.369482755661
0,fig4a,False,1,strong_wolfe,False,40,,100,100.0,132,0.0185585636645555,952.6687428951265
0,fig4a,False,1,strong_wolfe,False,10,10.0,100,10.0,387,0.0187452025711536,825.4036846160889
0,fig16b,False,1,strong_wolfe,False,5,,100,1.0,1019,0.00061060389271,1382.6213593482971
0,fig4a,False,1,strong_wolfe,False,40,40.0,100,10.0,133,0.0187452025711536,775.3093614578247
0,fig16b,False,1,strong_wolfe,False,20,20.0,100,10.0,117,0.0219389200210571,357.2410283088684
