index,filename,seed,loss,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,synth_loss,synth_duration
0,fig4a,1,0.009628393372631765,40,40.0,300,3.0,101,0.0012958826264366,570.7698686122894
0,fig16b,1,0.06513900663658649,5,5.0,30,3.0,101,0.010483075864613,67.41380548477173
0,fig16b,1,0.0238468639583376,10,10.0,10,3.0,101,0.0033825528807938,127.30027103424072
0,fig16d,0,0.8067676945588556,10,5.0,100,1.0,101,0.1321256309747696,75.90597987174988
0,fig16d,1,0.8594892911931555,40,20.0,30,1.0,70,0.1439378410577774,112.786123752594
0,fig16b,1,0.01382060888492803,10,,100,1.0,101,0.0019582803361117,150.9842517375946
0,fig16d,1,1.1780980231071516,40,20.0,10,0.3,63,0.2074089795351028,121.21159815788268
0,fig4a,1,0.03414867326398881,40,20.0,30,3.0,101,0.0048331157304346,237.18214654922485
0,fig16d,0,0.8181856436128162,20,10.0,30,0.3,101,0.13401660323143,121.84799981117249
0,fig16d,1,0.8209467564470865,10,,3,1.0,101,0.1341519504785537,152.3459644317627
0,fig16d,0,0.551909997410705,40,40.0,30,3.0,81,0.0861068740487098,206.10856676101685
0,fig16d,1,0.8996005038528743,5,5.0,30,0.3,101,0.1522460579872131,68.36308813095093
0,fig4a,1,0.006357776592255583,40,,300,3.0,101,0.0008746206876821,674.4540195465088
0,fig16d,1,0.8594892911931555,40,40.0,30,1.0,61,0.1439378410577774,106.18688440322876
0,fig16b,0,0.05528377009711359,5,,10,3.0,101,0.0085451761260628,78.39296102523804
0,fig16b,0,0.03519881096095753,5,,10,1.0,101,0.0050616371445357,75.06564116477966
0,fig16b,0,0.027804611483861257,10,,10,0.3,101,0.0038986389990895,126.72133207321168
0,fig4a,1,0.06877543548351625,10,,30,3.0,101,0.0099881291389465,153.59064626693726
0,fig4a,0,0.3187409237187486,10,5.0,100,3.0,101,0.0515207685530185,65.13759589195251
0,fig16d,1,0.8818394633549929,20,,300,1.0,67,0.1499560177326202,140.78827905654907
0,fig16d,0,0.9290616655966951,5,,300,1.0,99,0.1568669229745865,124.72487807273863
0,fig16b,1,0.01159168405435517,20,20.0,10,0.3,101,0.0016397525323554,249.6383950710297
0,fig16b,1,0.021111366484173236,10,,100,3.0,101,0.002891760552302,161.10553073883057
0,fig16d,1,0.8401034947120396,10,,3,0.3,101,0.1398316472768783,170.929429769516
0,fig4a,0,1.0626410927081675,5,2.0,10,3.0,101,0.174308031797409,31.90073323249817
0,fig16b,0,0.23557012657909837,5,2.0,3,3.0,101,0.0366090908646583,30.15380954742432
0,fig16b,1,0.02308860024976628,10,,300,3.0,101,0.0032355890143662,180.01466131210327
0,fig4a,0,0.0090459147229949,40,40.0,100,0.3,101,0.0011972890933975,536.0504231452942
0,fig16b,0,0.004799595619251405,20,,300,1.0,101,0.0007455226150341,330.7602574825287
0,fig4a,1,0.00974573680477759,40,40.0,100,3.0,101,0.0013012907002121,489.6428141593933
0,fig16d,1,0.7707741408712255,20,,3,1.0,101,0.1235710233449935,243.3395802974701
0,fig16b,0,0.003016469495513408,40,,100,3.0,101,0.0004654848889913,619.374351978302
0,fig16b,0,0.10160590579445651,5,5.0,10,0.3,101,0.0171775203198194,58.54313039779663
0,fig4a,0,0.05184083719501597,20,,300,3.0,101,0.0072513227351009,360.5592174530029
0,fig4a,1,0.08415194069485546,20,10.0,100,3.0,101,0.0135914226993918,135.09789991378784
0,fig4a,0,0.07269013562957606,10,,300,1.0,101,0.0103288553655147,176.9295473098755
0,fig4a,0,0.07046716168825631,10,,100,1.0,101,0.009942521341145,153.75075006484985
0,fig4a,0,0.052170425165644616,40,40.0,3,0.3,101,0.007166854571551,467.2231492996216
0,fig4a,0,0.3285379823832165,5,5.0,300,0.3,101,0.053165178745985,68.83288669586182
0,fig4a,1,0.009128538696622494,40,,10,1.0,101,0.0012190019479021,519.2339878082275
0,fig4a,1,0.323257057660472,10,5.0,10,3.0,101,0.0519290417432785,65.04691958427429
0,fig16b,0,0.00631589341131794,20,20.0,100,1.0,101,0.0010001866612583,248.34518241882324
0,fig16d,1,0.8200632473000199,10,5.0,100,1.0,101,0.1380012482404709,81.05112075805664
0,fig4a,0,0.10260672026966049,20,20.0,3,0.3,101,0.0156800895929336,245.9100449085236
0,fig4a,1,1.4054069682014683,5,2.0,3,3.0,101,0.2362566441297531,31.96564221382141
0,fig4a,1,0.4506044341889458,5,5.0,10,0.3,101,0.0695437416434288,57.90151524543762
0,fig16b,1,0.0065389220748754235,40,40.0,3,1.0,101,0.0010718998964875,464.5348637104034
0,fig16b,1,0.05170261466843103,5,5.0,300,1.0,101,0.007594019640237,68.48526954650879
0,fig4a,0,0.4534841598877721,5,5.0,3,1.0,101,0.0710045993328094,62.62546372413635
0,fig16d,0,1.2329280450821016,40,20.0,3,0.3,76,0.2174546271562576,128.89386796951294
0,fig16d,0,0.8181856436128162,40,20.0,30,0.3,84,0.13401660323143,145.46422290802002
0,fig16b,0,0.003439511720041041,40,,10,1.0,101,0.0005539577105082,496.48949360847473
0,fig16b,1,0.03692067263241946,5,,300,1.0,101,0.00503657059744,89.43315815925598
0,fig16b,0,0.008087081226257295,20,,300,3.0,101,0.0011802320368587,341.1421649456024
0,fig16d,0,0.770768924861061,5,,300,3.0,101,0.1275134682655334,92.97825288772584
0,fig16d,0,0.8181856436128162,10,10.0,30,0.3,101,0.13401660323143,124.83026838302612
0,fig16d,0,0.9099953746501124,40,20.0,10,0.3,80,0.1517175436019897,172.4342975616455
0,fig16d,1,1.6961891819998147,5,2.0,10,0.3,101,0.3177619874477386,24.419719457626343
0,fig16b,1,0.0069956776703604265,40,40.0,3,0.3,101,0.0011082132114097,492.16113686561584
0,fig16d,1,0.8401034947120396,10,10.0,3,0.3,101,0.1398316472768783,148.0261378288269
0,fig16b,1,0.02916780938824466,10,10.0,300,3.0,101,0.0040474291890859,138.66324377059937
0,fig16d,0,1.2308766099714785,5,2.0,30,1.0,101,0.2177964597940445,27.227028846740723
0,fig16b,0,0.0021415883053198057,40,40.0,300,1.0,101,0.0003160738851875,607.3952651023865
0,fig4a,0,0.008412938374298943,40,,100,0.3,101,0.0011317674070596,532.4015326499939
0,fig16b,1,0.006743501101560707,20,,300,0.3,101,0.0010016103042289,327.99526047706604
0,fig4a,0,0.03871236358901305,20,,100,0.3,101,0.0052119754254817,286.19889402389526
0,fig16d,1,0.8196231575151741,5,,100,0.3,101,0.1386710554361343,90.72178840637208
0,fig4a,1,0.07667921741113888,40,20.0,3,0.3,101,0.011387781240046,246.15202951431277
0,fig16b,0,0.028044513923733493,20,10.0,3,1.0,101,0.004164848010987,124.1568546295166
0,fig4a,1,0.47261115553796734,5,5.0,3,1.0,101,0.0740643739700317,63.323628187179565
0,fig16b,1,0.0031846256865245433,40,40.0,100,3.0,101,0.0004739797441288,525.2423644065857
0,fig16d,1,0.9821139540914381,10,10.0,3,3.0,82,0.1653893589973449,119.5573902130127
0,fig16d,0,0.782036465424442,10,,30,1.0,94,0.1277888268232345,135.7735240459442
0,fig16d,0,0.9153968287402284,10,5.0,100,0.3,101,0.1539041548967361,72.28804445266724
0,fig16b,0,0.0566566961396814,5,,30,3.0,101,0.0086183613166213,80.0938971042633
0,fig16d,0,0.782036465424442,20,10.0,30,1.0,101,0.1277888268232345,146.36772561073303
0,fig16b,1,0.04853181369670712,5,5.0,10,1.0,101,0.0073277000337839,62.30550289154053
0,fig16b,1,0.018099767178618074,20,20.0,3,1.0,101,0.0027505117468535,228.48114013671875
0,fig16b,1,0.003542647247849336,40,40.0,10,1.0,101,0.000574245059397,496.5482175350189
0,fig16d,1,0.7771067008258518,20,20.0,10,1.0,80,0.1276943534612655,141.81607723236084
0,fig16d,1,0.8594892911931555,20,,30,1.0,67,0.1439378410577774,104.71928787231444
0,fig4a,1,0.09214676601287324,20,10.0,30,3.0,101,0.0145853124558925,124.68602085113524
0,fig4a,1,0.4506044341889458,10,5.0,10,0.3,101,0.0695437416434288,62.45521116256714
0,fig16d,0,1.545096777071714,5,2.0,10,0.3,101,0.3028014600276947,25.79336929321289
0,fig16b,0,0.05584899151381496,5,5.0,300,1.0,101,0.0086362715810537,72.1905415058136
0,fig16d,1,0.6212415993611268,40,,30,3.0,75,0.0966956913471221,223.34117484092712
0,fig16b,0,0.003097118084125433,40,,100,0.3,101,0.0004474188608583,546.8877012729645
0,fig4a,1,0.2643659314388879,5,,300,0.3,101,0.0431829690933227,89.18703722953796
0,fig16d,0,0.8189289532576209,5,5.0,10,3.0,101,0.1344632804393768,68.3412413597107
0,fig16b,1,0.023740975025519535,10,,3,3.0,101,0.0032645214814692,141.03297400474548
0,fig16d,0,0.9153968287402284,5,5.0,100,0.3,101,0.1539041548967361,72.03536820411682
0,fig16b,0,0.006639710761477841,20,,30,1.0,101,0.0010320751462131,275.1452741622925
0,fig16d,1,0.9821139540914381,20,,3,3.0,64,0.1653893589973449,125.57445240020752
0,fig16b,0,0.01070160811731782,40,20.0,30,0.3,101,0.0016075889579951,237.08291959762573
0,fig4a,1,0.010018779729719091,40,40.0,10,1.0,101,0.0013455767184495,489.5381648540497
0,fig16b,0,0.02840820131437701,20,10.0,30,0.3,101,0.0040136994794011,126.31449460983276
0,fig16d,1,0.8613012962297978,10,5.0,300,3.0,101,0.141389325261116,73.3572404384613
0,fig16d,0,1.064659286516535,10,10.0,3,3.0,79,0.182416945695877,148.05770874023438
0,fig16b,1,0.03708885735680373,5,,30,1.0,101,0.0050933118909597,76.91657948493958
0,fig16d,1,0.8818394633549929,20,20.0,300,1.0,71,0.1499560177326202,132.25072050094604
0,fig16d,1,1.860816734430112,5,2.0,3,0.3,101,0.3938784897327423,23.724008560180664
0,fig16d,0,0.2522660346168168,40,,10,3.0,101,0.034121137112379,373.98552560806274
0,fig16d,0,0.6925825884346537,20,10.0,300,3.0,101,0.1130279675126075,165.44460129737854
0,fig16d,1,0.7654353310100532,40,40.0,100,0.3,70,0.1280586868524551,207.5925166606903
0,fig16d,0,1.064659286516535,40,40.0,3,3.0,60,0.182416945695877,147.01705956459045
0,fig16b,0,0.33649528263631484,5,2.0,100,0.3,101,0.0492588244378566,26.75371050834656
0,fig4a,1,0.03469566265870429,40,,3,0.3,101,0.004921234678477,511.3251962661743
0,fig4a,0,1.1750493352260996,5,2.0,10,1.0,101,0.1903599351644516,26.468359231948853
0,fig4a,1,0.23483624155760166,5,,10,3.0,101,0.038747351616621,73.08717560768127
0,fig16d,1,1.1780980231071516,5,5.0,10,0.3,101,0.2074089795351028,120.41618299484252
0,fig16d,0,0.9559102858082271,10,5.0,300,0.3,101,0.1608893424272537,73.00059080123901
0,fig16d,1,0.8162924237893682,5,,10,3.0,101,0.1310682743787765,89.1578676700592
0,fig4a,1,0.010205623226714044,40,,30,0.3,101,0.0013903434155508,518.1345624923706
0,fig16b,0,0.0032256330500903783,40,40.0,30,1.0,101,0.0005030896281823,476.9143500328064
0,fig4a,0,0.08928076881729587,20,,3,1.0,101,0.0133686615154147,264.4554870128632
0,fig16b,0,0.05441874398718402,10,5.0,100,1.0,101,0.0083890184760093,67.71541333198547
0,fig4a,1,0.035970410880090786,40,20.0,300,3.0,101,0.0051014311611652,275.38532638549805
0,fig4a,1,0.046875915058778944,10,,30,1.0,101,0.0066857910715043,132.56796646118164
0,fig16d,0,1.2095640458575025,5,2.0,300,3.0,101,0.2161631435155868,34.99728798866272
0,fig16d,0,0.8374430021353532,10,10.0,100,0.3,101,0.1389929205179214,146.2925682067871
0,fig16d,1,1.1780980231071516,20,10.0,10,0.3,75,0.2074089795351028,121.40954661369324
0,fig16b,1,0.007474519187225051,40,20.0,300,0.3,101,0.0010962026426568,314.7817876338959
0,fig16d,0,0.7504768457672328,5,,100,1.0,101,0.1232424527406692,88.0754086971283
0,fig4a,0,1.4064961227398547,5,2.0,10,0.3,101,0.2413661032915115,25.769325494766235
0,fig4a,0,0.007358315384609906,40,40.0,300,0.3,101,0.0009828482288867,614.8813016414642
0,fig4a,1,0.1630939610628858,10,5.0,100,1.0,101,0.0281081516295671,67.69566607475281
0,fig16d,0,0.6925825884346537,40,,300,3.0,69,0.1130279675126075,233.7561404705048
0,fig4a,0,0.2553392846435848,5,,300,3.0,101,0.0422085113823413,87.74590182304382
0,fig16d,1,0.7654353310100532,20,20.0,100,0.3,87,0.1280586868524551,202.178062915802
0,fig4a,1,0.5716409975369141,10,5.0,3,0.3,101,0.0878320336341857,58.33100628852844
